Kod;Nazwa;Udzielone_Noclegi;Prognoza
1063000;Powiat m. Skierniewice;0.0;63.29333333333334
1201000;Powiat bocheński;97026.0;88440.08
1202000;Powiat brzeski;54131.0;22953.013333333332
1203000;Powiat chrzanowski;5991.0;7423.393333333333
1204000;Powiat dąbrowski;6318.0;6597.24
1205000;Powiat gorlicki;273480.0;229855.61333333334
1206000;Powiat krakowski;342301.0;386268.56
1207000;Powiat limanowski;95583.0;94643.99333333333
1208000;Powiat miechowski;68621.0;65667.01333333334
1209000;Powiat myślenicki;80237.0;86768.54
1210000;Powiat nowosądecki;2111224.0;2011902.9
1211000;Powiat nowotarski;1063673.0;1159457.48
1212000;Powiat olkuski;32996.0;41428.8
1213000;Powiat oświęcimski;295538.0;246080.58666666667
1214000;Powiat proszowicki;9377.0;8746.253333333334
1215000;Powiat suski;196006.0;214053.84666666668
1216000;Powiat tarnowski;59318.0;83890.40666666666
1217000;Powiat tatrzański;3657752.0;3345729.473333333
1218000;Powiat wadowicki;215337.0;238353.34
1219000;Powiat wielicki;195196.0;221187.68666666668
1261000;Powiat m. Kraków;6526485.0;5932219.773333333
1262000;Powiat m. Nowy Sącz;49140.0;52735.12666666666
1263000;Powiat m. Tarnów;70692.0;88784.01333333334
1401000;Powiat białobrzeski;19466.0;16799.926666666666
1402000;Powiat ciechanowski;46628.0;54149.746666666666
1403000;Powiat garwoliński;116347.0;98059.72
1404000;Powiat gostyniński;23171.0;12662.68
1405000;Powiat grodziski;103430.0;83374.04666666666
1406000;Powiat grójecki;129174.0;117257.91333333333
1407000;Powiat kozienicki;58953.0;52207.55333333334
1408000;Powiat legionowski;356224.0;397630.3933333333
1409000;Powiat lipski;0.0;1902.3733333333332
1410000;Powiat łosicki;8854.0;14343.753333333334
1411000;Powiat makowski;15906.0;15215.906666666666
1412000;Powiat miński;40178.0;52089.90666666667
1413000;Powiat mławski;10721.0;7279.22
1414000;Powiat nowodworski;85128.0;79485.72666666667
1415000;Powiat ostrołęcki;17658.0;15519.753333333334
1416000;Powiat ostrowski;0.0;17607.653333333332
1417000;Powiat otwocki;138289.0;128709.35333333333
1418000;Powiat piaseczyński;227602.0;238745.43333333332
1419000;Powiat płocki;29295.0;35634.00666666667
1420000;Powiat płoński;51029.0;50292.41333333333
1421000;Powiat pruszkowski;233242.0;221780.45333333334
1422000;Powiat przasnyski;0.0;4035.1466666666665
1423000;Powiat przysuski;39842.0;13207.706666666667
1424000;Powiat pułtuski;0.0;11156.046666666667
1425000;Powiat radomski;35889.0;30006.126666666667
1426000;Powiat siedlecki;43990.0;41872.153333333335
1427000;Powiat sierpecki;40707.0;37705.886666666665
1428000;Powiat sochaczewski;59863.0;53563.28
1429000;Powiat sokołowski;5048.0;7347.453333333333
1430000;Powiat szydłowiecki;60967.0;58145.28666666667
1432000;Powiat warszawski zachodni;188063.0;205432.95333333334
1433000;Powiat węgrowski;139407.0;119150.45333333334
